year,type,country,activity,sex,age,fatal,time,species
2018,Boating,USA,Paddling,F,57,N,18,White Shark
2018,Unprovoked,USA,Surfing,M,48,N,7,Unknown Shark
2018,Unprovoked,BRZ,Swimming,M,18,Y,12,Tiger Shark
2018,Unprovoked,USA,Walking,M,15,N,17,Bull Shark
2018,Unprovoked,USA,Standing,M,12,N,14,Unknown Shark
2018,Provoked,AUS,Messing with Sharks,M,32,N,10,Reef Shark
2018,Unprovoked,USA,Swimming,M,10,N,15,Unknown Shark
2018,Unprovoked,UK,Fishing,M,21,N,8,Unknown Shark
2018,Unprovoked,SA,Surfing,M,18,N,11,Unknown Shark
2018,Unprovoked,AUS,Surfing,M,18,N,10,Unknown Shark
2018,Unprovoked,CR,Diving,M,30,N,10,Tiger Shark
2018,Unprovoked,AUS,Surfing,M,18,N,16,Unknown Shark
2018,Unprovoked,AUS,Surfing,M,18,N,7,Unknown Shark
2018,Unprovoked,AUS,Surfing,M,60,N,9,Unknown Shark
2018,Unprovoked,AUS,Surfing,M,18,N,12,White Shark
2018,Unprovoked,MAL,Fishing,M,32,N,21,Tiger Shark
2018,Unprovoked,SA,Surfing,M,33,N,9,White Shark
2018,Unprovoked,AUS,Surfing,M,37,N,8,Unknown Shark
2018,Unprovoked,BAH,Surfing,M,18,N,9,Tiger Shark
2018,Unprovoked,NC,Surfing,M,18,N,17,Unknown Shark
2018,Unprovoked,BAH,Swimming,M,12,N,18,Bull Shark
2018,Unprovoked,SA,Surfing,M,19,N,15,White Shark
2018,Unprovoked,USA,Surfing,M,25,N,9,Tiger Shark
2018,Unprovoked,AUS,Wading,M,10,N,17,Wobbegong Shark
2018,Unprovoked,AUS,Swimming,M,69,N,15,Unknown Shark
2018,Unprovoked,AUS,Surfing,M,18,N,7,Unknown Shark
2018,Unprovoked,AUS,Swimming,F,55,N,18,White Shark
2018,Provoked,AUS,Fishing,M,34,N,22,Unknown Shark
2018,Unprovoked,AUS,Walking,M,35,N,16,Bull Shark
2018,Unprovoked,AUS,Swimming,F,18,N,18,Wobbegong Shark
2018,Unprovoked,AUS,Surfing,M,18,N,8,Bull Shark
2018,Unprovoked,NC,Fishing,M,40,N,15,Bull Shark
2018,Unprovoked,AUS,Diving,M,18,N,15,Reef Shark
2018,Unprovoked,BRZ,Surfing,M,20,N,12,Unknown Shark
2017,Unprovoked,USA,Surfing,F,54,N,18,Tiger Shark
2017,Unprovoked,USA,Surfing,F,35,N,12,Unknown Shark
2017,Unprovoked,USA,Fishing,M,25,N,13,White Shark
2017,Unprovoked,USA,Surfing,F,14,N,12,Unknown Shark
2017,Unprovoked,AUS,Surfing,M,25,N,16,Unknown Shark
2017,Unprovoked,CUB,Swimming,M,22,Y,23,Tiger Shark
2017,Unprovoked,AUS,Surfing,M,31,N,9,Wobbegong Shark
2017,Unprovoked,USA,Surfing,M,18,N,15,Unknown Shark
2017,Unprovoked,MAU,Swimming,M,18,N,12,Unknown Shark
2017,Unprovoked,USA,Surfing,M,17,N,17,Unknown Shark
2017,Unprovoked,USA,Swimming,F,60,N,8,Unknown Shark
2017,Unprovoked,AUS,Fishing,F,15,N,12,White Shark
2017,Unprovoked,NZ,Kayaking,M,18,N,9,Unknown Shark
2017,Unprovoked,USA,Swimming,M,18,N,14,Spinner Shark
2017,Unprovoked,USA,Surfing,M,54,N,18,Tiger Shark
2017,Unprovoked,USA,Diving,F,40,N,12,Unknown Shark
2017,Unprovoked,USA,Surfing,M,18,N,10,Unknown Shark
2017,Unprovoked,AUS,Surfing,M,18,N,18,White Shark
2017,Unprovoked,USA,Surfing,M,33,N,15,Unknown Shark
2017,Unprovoked,USA,Surfing,M,18,N,14,Unknown Shark
2017,Unprovoked,USA,Surfing,M,18,N,10,Unknown Shark
2017,Unprovoked,USA,Surfing,M,28,N,16,Unknown Shark
2017,Unprovoked,SA,Diving,M,25,N,12,Unknown Shark
2017,Unprovoked,SAM,Fishing,M,18,N,22,Unknown Shark
2017,Unprovoked,USA,Surfing,M,18,N,18,Unknown Shark
2017,Unprovoked,AUS,Swimming,M,18,N,15,Unknown Shark
2017,Unprovoked,AUS,Surfing,M,35,N,6,White Shark
2017,Unprovoked,SA,Swimming,M,18,Y,10,Unknown Shark
2017,Unprovoked,JP,Surfing,M,42,N,10,Unknown Shark
2017,Unprovoked,USA,Surfing,M,17,N,10,Unknown Shark
2017,Unprovoked,AUS,Surfing,M,37,N,10,White Shark
2017,Unprovoked,USA,Wading,F,3,N,13,Unknown Shark
2017,Unprovoked,ESP,Swimming,F,11,N,12,Unknown Shark
2017,Unprovoked,USA,Surfing,M,69,N,10,White Shark
2017,Unprovoked,BAH,Fishing,M,18,N,15,Unknown Shark
2017,Unprovoked,USA,Swimming,M,13,N,13,Blacktip Shark
2017,Provoked,USA,Fishing,M,34,N,23,Unknown Shark
2017,Boating,USA,Fishing,M,18,N,10,White Shark
2017,Unprovoked,USA,Surfing,M,15,N,18,Unknown Shark
2017,Unprovoked,USA,Swimming,M,10,N,15,Unknown Shark
2017,Unprovoked,USA,Surfing,F,12,N,12,Unknown Shark
2017,Unprovoked,STH,Surfing,M,37,N,17,Unknown Shark
2017,Unprovoked,ESP,Swimming,F,18,N,12,Blue Shark
2017,Unprovoked,USA,Surfing,F,40,N,12,Unknown Shark
2017,Boating,USA,Kayaking,M,40,N,11,White Shark
2017,Unprovoked,USA,Surfing,M,50,N,7,White Shark
2017,Unprovoked,USA,Surfing,M,18,N,18,White Shark
2017,Unprovoked,AUS,Surfing,M,18,N,11,Unknown Shark
2017,Boating,USA,Kayaking,M,18,N,11,White Shark
2017,Unprovoked,USA,Swimming,M,46,N,15,Bull Shark
2017,Unprovoked,SA,Surfing,F,13,N,15,White Shark
2017,Unprovoked,USA,Fishing,M,18,N,19,Unknown Shark
2017,Unprovoked,USA,Surfing,M,18,N,10,Unknown Shark
2017,Unprovoked,REU,Surfing,M,34,N,10,Bull Shark
2017,Unprovoked,ESP,Swimming,M,82,N,12,Unknown Shark
2017,Unprovoked,AUS,Surfing,M,48,N,8,White Shark
2017,Unprovoked,AUS,Surfing,F,18,N,15,Seven-gill shark
2017,Unprovoked,USA,Surfing,M,19,N,10,Unknown Shark
2017,Unprovoked,USA,Messing with Sharks,M,18,N,10,Tiger Shark
2017,Unprovoked,UAE,Fishing,M,41,N,10,Unknown Shark
2017,Unprovoked,MEX,Diving,M,33,Y,17,Unknown Shark
2017,Unprovoked,USA,Surfing,F,18,N,14,Unknown Shark
2017,Unprovoked,USA,Swimming,F,18,N,17,Unknown Shark
2017,Unprovoked,SA,Surfing,M,14,N,17,Unknown Shark
2017,Unprovoked,USA,Surfing,F,33,N,11,Unknown Shark
2017,Unprovoked,REU,Surfing,M,28,Y,11,Unknown Shark
2017,Unprovoked,NZ,Surfing,F,20,N,14,Unknown Shark
2017,Unprovoked,STH,Diving,F,40,N,16,Unknown Shark
2017,Unprovoked,USA,Swimming,M,18,N,8,Unknown Shark
2017,Unprovoked,USA,Surfing,M,18,N,12,Unknown Shark
2017,Unprovoked,AUS,Surfing,F,17,Y,16,White Shark
2017,Unprovoked,USA,Surfing,M,28,N,9,Tiger Shark
2017,Unprovoked,USA,Surfing,M,17,N,13,Unknown Shark
2017,Unprovoked,USA,Surfing,F,18,N,13,Unknown Shark
2017,Unprovoked,USA,Surfing,F,35,N,16,Unknown Shark
2017,Unprovoked,USA,Surfing,F,10,N,17,Unknown Shark
2017,Unprovoked,USA,Swimming,F,21,N,17,Unknown Shark
2017,Unprovoked,USA,Swimming,F,51,N,13,Unknown Shark
2017,Unprovoked,AUS,Kayaking,M,39,N,12,Unknown Shark
2017,Unprovoked,USA,Swimming,F,17,N,15,Bull Shark
2017,Unprovoked,USA,Surfing,M,58,N,10,Unknown Shark
2017,Unprovoked,AUS,Surfing,M,30,N,18,Unknown Shark
2017,Boating,USA,Kayaking,M,18,N,14,White Shark
2017,Unprovoked,AUS,Diving,F,18,N,10,Bull Shark
2017,Unprovoked,AUS,Surfing,M,18,N,10,Unknown Shark
